quasiris_id	topic	nr_in_context	name
fussballde611	Fussball	611	Udinese Calcio
fussballde613	Politiker	613	Andreas Statzkowski
fussballde615	Bundesland	615	Berlin
fussballde617	Gegenstand	617	Sport
fussballde619	Stadt	619	Burk
fussballde621	Fussball	621	Türkgücü Freiburg
fussballde623	Fussball	623	Amateurfußball
fussballde625	Politik	625	Bürgermeister
fussballde627	Fussball	627	FC Energie Cottbus
fussballde629	Firma	629	Energie Cottbus
fussballde63	Stadt	63	Andernach
fussballde631	Stadt	631	Cottbus
fussballde633	Gegenstand	633	Schüler
fussballde635	Gegenstand	635	Energie
fussballde637	Politik	637	Deutsche Einheit
fussballde639	Politik	639	Republik
fussballde641	Feiertag	641	Tag der Deutschen Einheit
